reaction,name,equation,definition,enzyme,substrates,products,stoichiometry_substrates,stoichiometry_products
R07469,3-Dehydroteasterone <=> Typhasterol,C15792 <=> C15793,3-Dehydroteasterone <=> Typhasterol,,C15792,C15793,1.0,1.0
R07470,"typhasterol,NADPH:oxygen oxidoreductase (2alpha-hydroxylating); Typhasterol + NADPH + H+ + Oxygen <=> Castasterone + NADP+ + H2O",C15793 + C00005 + C00080 + C00007 <=> C15794 + C00006 + C00001,Typhasterol + NADPH + H+ + Oxygen <=> Castasterone + NADP+ + H2O,['1.14.-.-'],C15793;C00005;C00080;C00007,C15794;C00006;C00001,1.0;1.0;1.0;1.0,1.0;1.0;1.0
R07471,"castasterone,NADPH---hemoprotein reductase:oxygen oxidoreductase (lactonizing, brassinolide-forming); Castasterone + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Brassinolide + [Oxidized NADPH---hemoprotein reductase] + 2 H2O",C15794 + C03024 + C00007 <=> C08814 + C03161 + 2 C00001,Castasterone + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Brassinolide + [Oxidized NADPH---hemoprotein reductase] + 2 H2O,['1.14.14.180'],C15794;C03024;C00007,C08814;C03161;C00001,1.0;1.0;1.0,1.0;1.0;2.0
R07472,22alpha-Hydroxy-5alpha-campestan-3-one <=> 6-Deoxocathasterone,C15797 <=> C15798,22alpha-Hydroxy-5alpha-campestan-3-one <=> 6-Deoxocathasterone,,C15797,C15798,1.0,1.0
R07473,3-Dehydro-6-deoxoteasterone <=> 6-Deoxotyphasterol,C15800 <=> C15801,3-Dehydro-6-deoxoteasterone <=> 6-Deoxotyphasterol,,C15800,C15801,1.0,1.0
R07474,"6-deoxotyphasterol,NADPH:oxygen oxidoreductase (2alpha-hydroxylating); 6-Deoxotyphasterol + NADPH + H+ + Oxygen <=> 6-Deoxocastasterone + NADP+ + H2O",C15801 + C00005 + C00080 + C00007 <=> C15802 + C00006 + C00001,6-Deoxotyphasterol + NADPH + H+ + Oxygen <=> 6-Deoxocastasterone + NADP+ + H2O,['1.14.-.-'],C15801;C00005;C00080;C00007,C15802;C00006;C00001,1.0;1.0;1.0;1.0,1.0;1.0;1.0
R07475,geranylgeranyl-diphosphate:isopentenyl-diphosphate transtransferase; Geranylgeranyl diphosphate + Isopentenyl diphosphate <=> all-trans-Pentaprenyl diphosphate + Diphosphate,C00353 + C00129 <=> C04217 + C00013,Geranylgeranyl diphosphate + Isopentenyl diphosphate <=> all-trans-Pentaprenyl diphosphate + Diphosphate,['2.5.1.81'],C00353;C00129,C04217;C00013,1.0;1.0,1.0;1.0
R07476,(2R)-O-phospho-3-sulfolactate sulfo-lyase; (2R)-O-Phospho-3-sulfolactate <=> Sulfite + Phosphoenolpyruvate,C11536 <=> C00094 + C00074,(2R)-O-Phospho-3-sulfolactate <=> Sulfite + Phosphoenolpyruvate,['4.4.1.19'],C11536,C00094;C00074,1.0,1.0;1.0
R07477,spermidine:NAD+ oxidoreductase; Spermidine + NAD+ <=> Dehydrospermidine + NADH + H+,C00315 + C00003 <=> C15853 + C00004 + C00080,Spermidine + NAD+ <=> Dehydrospermidine + NADH + H+,['2.5.1.46'],C00315;C00003,C15853;C00004;C00080,1.0;1.0,1.0;1.0;1.0
R07478,[eIF5A-precursor]-deoxyhypusine:NAD+ oxidoreductase; N-(4-Aminobutylidene)-[eIF5A-precursor]-lysine + NADH + H+ <=> [eIF5A-precursor]-deoxyhypusine + NAD+,C15854 + C00004 + C00080 <=> C07282 + C00003,N-(4-Aminobutylidene)-[eIF5A-precursor]-lysine + NADH + H+ <=> [eIF5A-precursor]-deoxyhypusine + NAD+,['2.5.1.46'],C15854;C00004;C00080,C07282;C00003,1.0;1.0;1.0,1.0;1.0
